1542034,Feature Lighting - Shrine of Remembrance,13,70,Pole: Multiple Fixed,-37.83243026700112,144.97285142540412
1348116,Feature Lighting - Docklands,5,70,Inground,-37.81937093721541,144.9527211538597
1347754,Feature Lighting - Docklands,5,70,Inground,-37.81430907663625,144.9415082516051
1541768,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.82377720278515,144.9473620390991
1542387,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.823549964115635,144.94725830188167
1346680,Feature Lighting - Docklands,5,70,Inground,-37.81875888706601,144.9465887190532
1540942,Feature Lighting - Lincoln Square,9,,Pole: Multiple Fixed,-37.80249607672888,144.9632611870548
1540182,Feature Lighting - Victoria Harbour Promenade between Enterprize Way and Cumberland Street,13,35,Pole: Multiple Fixed,-37.818796371544686,144.9429471990951
1542527,Feature Lighting - Birrarung Marr,9,,Pole: Multiple Fixed,-37.819162880155226,144.97434198001127
1542338,Feature Lighting - Swanston Street between A'Beckett Street and Franklin Street,9,,Pole: Multiple Fixed,-37.80825560743794,144.96331856587182
1347344,Feature Lighting - Docklands,3,36,Parapet,-37.81761730006596,144.94897127715896
1347819,Feature Lighting - Docklands,1,,Wall,-37.81530295309155,144.94169435127137
1539356,Feature Lighting - Victoria Harbour,1,,Pole: Multiple Fixed,-37.816205093291074,144.93925452017507
1540953,Feature Lighting - Lincoln Square,9,,Pole: Multiple Fixed,-37.8023816350292,144.96303454039122
1541118,Feature Lighting - Victoria Harbour,2,14,Pole: Multiple Fixed,-37.81593008909404,144.93951827285446
1347572,Feature Lighting - Docklands,1,,Building Facade,-37.82137696855674,144.9332836678823
1543914,Feature Lighting - Little Bourke Street between Exhibition Street and Russell Street,9,,Pole: Multiple Fixed,-37.81139499855878,144.96916422139319
1543377,Feature Lighting - Northbank between Banana Alley and Southbank Pedestrian Bridge,2,14,Pole: Multiple Fixed,-37.81956940809722,144.96365368831295
1548050,Feature Lighting - Fitzroy Gardens,1,20,Bollard,-37.81144884293843,144.98161694205717
1543911,Feature Lighting - Swanston Street between A'Beckett Street and Franklin Street,9,,Pole: Multiple Fixed,-37.807884543153975,144.96289969879007
1542553,Feature Lighting -,9,,Pole: Multiple Fixed,-37.822791517086756,144.94678753551023
1487871,Feature Lighting - Docklands,,,,-37.815919349936486,144.93930098401327
1544709,Feature Lighting - Parliament Gardens,9,,Pole: Multiple Fixed,-37.80974580957727,144.97352063655438
1541722,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.8235211006373,144.94736445534767
1544439,Feature Lighting - Victoria Green,9,,Pole: Multiple Fixed,-37.82021103692537,144.94513568783802
1542349,Feature Lighting - Swanston Street between A'Beckett Street and Franklin Street,9,,Pole: Multiple Fixed,-37.80810812265274,144.96302118236724
1502837,Feature Lighting - Southbank,,125,Wall,-37.819842605974465,144.96684286427887
1347459,Feature Lighting - Docklands,3,36,Parapet,-37.817717998569044,144.94981996575422
1539529,Feature Lighting - Victoria Harbour,13,70,Pole: Multiple Fixed,-37.81831756800546,144.94468563100625
1541023,Feature Lighting - Intersection of Bourke Street and Wurundjeri Way,9,,Pole: Multiple Fixed,-37.81813477554753,144.9504254758168
1544849,Feature Lighting - Docklands Park,13,14,Pole: Multiple Fixed,-37.820169893728604,144.9463753402093
1502795,Feature Lighting - Southbank,,70,Pole: Multiple Fixed,-37.81988240290132,144.9668199603448
1348276,Feature Lighting - Docklands,1,,Canopy,-37.81760254279672,144.95166860933605
1540123,Feature Lighting - Southbank Pedestrian Bridge between Southbank Promenade and Flinders Walk,,,,-37.819548038230785,144.96511770791992
